Comment;Sentimen
Kualitas kontennya makin hari makin top! GA 𝐑𝐔𝐃a 𝐇𝐎 K✨ 🚀;Positif
Kreatif banget idenya, GA 𝐑𝐔𝐃a 𝐇𝐎 Ki⚡️⚡️keren parah! 💡;Positif
60 tahun lgi baru lunas. 90 % yg nonton ini sudah mati pas SDH lunas😅;Negatif
daripada bikin kereta cepat mending uang nya di korupsi;Negatif
Luhut itu JENDRAL, tapi OTAXnya mau membegoin rakyat, dgn bangga OMON OMON hutang Kreta Cepat diperpanjang 60 th,...lha KCIC itu max umurnya brapa th,...KCIC nya sudah jadi ROSOX, hutangnya masih berjalan...;Negatif
Pesan moral: jangan sok gaya-gayaan kalau dompet tipis 😊;Negatif
Sialan emng jokowi ama luhut. Mreka aja yg bayar, deh. Ini kan akibat ambisi busuk mreka.;Negatif
KCIC bukan PSN.tapi kemauan Jokowi memaksakan diri, biar ada kejelasan harusnya panggil Jokowi dan orang terlibat di proyek ini, harus ada tanggung jawab jangan dibiarkan.;Negatif
Itung itungan itu apa sudah termasuk koropsinya apa belum mbak ?;Negatif
Mantan presiden. Yg kebijakannya super konyol cepet2 ditangkap untk mempertanggung jawabkan kebijakan dan ide konyolnya;Negatif
SIMPEL PROYEK IKN & KERETA CEPAT PROYEK AMBISI JOKOWI.;Negatif
Yang harus bertanggungjawab ya setuju proyek lah enak bener yang profit siapa yang bayar hutang negara kan lucu 😅😅;Negatif
Pulau atau fasilitas negara mana yang akan dijadikan jaminan kepada Cina?;Negatif
Karena ijasah jokowi tdk jelas asal usulnya maka cara berfikir jokowi hanya merusak bangsa indonesia;Negatif
Panggil jokowi dan rini sumarno utk beri keterangan dan diproses hukum keputusan yg sdh diambil yg membuat rakyat indonesia susah sampai anak cucu;Negatif
"Enaknya jadi presiden... utang - utang aja. Begitu lengser...
Siapa yang mengembalikan... terserah...";Negatif
BUKAN TRILIUNAN BOS ..TAPI RATUSAN TRILIUN;Negatif
Pak jokowi dan luhur yg bertanggung jawab;Negatif
Terima kasih Mulyono dan Luhut untuk warisan utangnya 🥰;Negatif
PAK JOKOWI harus bertanggungjawab;Negatif
Bagaimana jika pak Jokowi dan keluarga serta kerabat nya yang pernah punya kedudukan tinggi diwajibkan untuk juga menalangi kerugian KAI ... adil kan?;Negatif
# Adili Jokowi dan luhut;Negatif
"Pak habibi dan suharto tak buat utang dengan pembuatan CN 250 
Gatotkaca karma orang2 pki yang ingin menjatuhkan nama suharto melalui ambisi jokowi dan rezimnya";Negatif
"Apakah KAI sasaran dikuasai cina 
Sebab bumn sehat indonesia hanya KAI";Negatif
"Lhamdulillah terbongkar akhirnya kebusukan kereta cepat 
Kejar dan hajar orang2 busuk dibalik kereta cepat";Negatif
Skemanya Tetep Mirip2 Min. Tetap Injeksi APBN. kalau Negara tau Akan Kelanjutannya Seperti Ini pasti respon Masyarakat tidak akan Mau;Negatif
Ambil alih negara ujung rakyat lagi bayar;Negatif
Luhut bilang trafortasi rakyat tak bisa untung ? Buktinya KAI.bisa untung.bisa bayar hutang kereta cepat berarti selama ini rakyat sudah dibohongi oleh jokowi dan luhut.adili penjarakan.;Negatif
Sebenarnya semua proyek ambisius Jokowi kreta cepat dan ibukota baru tidak semata kesalahan Jokowi lukhud DPR nalarnya kemana ? Apa mereka untung banyak dengan adanya proyek ambisius faktanya mereka kerjakan dan menyetujuinya setelah gagal bayar mereka lari tak mau tanggung jawab ini mental orang kita munafik;Negatif
Kasih pulau kalimantan ke china buat ganti utang.;Negatif
"1. Jadiin Tersangka Korupsi mega proyek (WHOOSH, IKN, PLTS, Food Estate dkk)
2. Jadiin tersangka pemalsuan data (Ijazah dkk)

Nah tinggal kapan keadilan ada?";Negatif
suruh wiwi luhut termul relawan wiiwi spt andi , semar , fredy dll yg bayar hutang whoosh;Negatif
Pasti mentri titipa mulyono ketar ketir pasti;Negatif
Rakyat yg mengkritik langsung dibungkam dan ditindas😢😢😢😢mengerikan;Negatif
Erah jokowi benar-benar ngeri dan menakutkan korupsi merajalela dan sadis hingga semua lini, mafia jahat berpesta pora, aneh rakyat pun ditindas dan diperas tanpa perasaan😢😢😢😢😮😮😮😮;Negatif
Audit dan selesai kan dulu kasus mark-up nya baru dicarikan solusinya , walau whoss itu manfaat kecil sekali dibandingkan dgn mudharatnya, belum lagi kasus mark-up dan pengkajian asal asalan seperti pelabuhan laut atau demarga, lapangan udara, tol dll... Yg merugikan negara dan rakyat hingga ribuan triliun rupiah😮😮😮😮😮😮;Negatif
"Bayar bunga rp 2 trilliun sethun.
I come hanya rp 1.5 triliun setahun.";Negatif
Secara total Proyek-proyek Jokowi jelas-jelas menghancurkan negara;Negatif
miskin amat ni negara , ga malu sama tetangga apa;Negatif
Tukar aja nama Whossh kepada werkkk;Negatif
Utang whooz jgn sampai membebani apbn, ambisi siapa dia yg hrs bayar, rakyat tidak boleh menanggung hutang atas ambisi jokowie dan luhut.;Negatif
Demi gengsi jokowi😢;Negatif
masih berani HIDUP JIKIWI gk ya si prabowo;Negatif
"Aneh memang dipilihnya China salah satunya krn bisa B2B, ujung2nya negara juga yang tanggung. belum tahu apakah nanti ada project2 seperti ini yang akan mulai ""meledak"" krn BUMN sudah tidak sanggup membayar";Negatif
"Kalau ga sanggup bayar gmn 
Gampang ,,,Natuna kita kasih ke mereka 
Pikiran mereka kan gitu 😂
Lama lama bubar";Negatif
Pikirin utang buat kererta negara.. bukan punyaan pribadi kok..pikirin yang mikir yaa negara.*.negara di korupsi ratusan trilyun negara masah beddiri* aja..apalagi buat bayar utangg .mosok yaa gak bisa..ini karena tendensi politik aja yg jadi bertele2.kacuali kalo di korup terus barang gak ada.gak wujud ..baru silahkan nyalahin....ini kalo ngak di bayar kebangetan dan akan membuat negara terjebak hutang yg gak seberapa...tapi malah tambah berbahaya yg di bikin sendiri.;Negatif
"Dalam Kajian Geografi Pembangunan:
Daripada mengadakan kereta cepat yang mengeluarkan anggaran besar dan minim pendapatan mendiangan mengadakan kereta api biasa produk dalam negeri secara bertahap untuk penumpang dan barang di Sumatra, Kalimatan, Sulawesi dan Papua yang belum tersentuh pembangunan perkeretaapian. Dampak positif ada pengadaan prmbangunan perkeretaapian di kawasan tersebut dapat membantu kegiatan perekonomian masyarakat dan pembangunan daerah. Semoga pengadaan perkeretaapian dikawasan tersebut terwujud. Al-Fatihah. Aaamiin. Ya Allah Ya Robbal 'alamiin.";Positif
Suruh mulyo sama lbp bayar;Negatif
Kirim ke SOLO KCIC SURUH BAYAR JOKOWI KERJAAN JKW ORG LAIN SURUH TANGGUNG JWB;Negatif
"Kondisi ini diketahui oleh Presiden atau tidak? Jangan-jangan info ini berhenti hanya di orang dekat atau pembisik. Tidak sampai ke beliau.
Kasihan para anggota kabinet dan Danantara + BUMN. Pusing memikirkan dan mencari solusi masalah ini, sementara Presiden menganggap tidak ada masalah apa-apa.";Negatif
Harta Jokowi Dodo kan banyak dari hasil korupsi sita aja bayar KIC;Negatif
"Proyek yg di paksakan untuk kepentingan terselubung...
Harusnya diadakan audit independen,";Negatif
Restru sampai 3 x kiamat;Negatif
Kalo sampe ada yg milih Antek2 Mulyono di2029 sih kebangetan B3GO nya😊;Negatif
ibarat lu masih misqin dikasih mercy gratis, tetep aja gaakan dipake, isi bensin nya aja ga mampu wkwk, mindset nya emang aneh, dibanding naikin kulitas hidup rakyat kita supaya mampu di level ekonomi tertentu, indonesia di pemerintahan sebelumnya kebanyakan flexing, tarik investasi untuk mobil listrik dll, mayoritas rakyat nya aja ga mampu beli, ya akhirnya investor rugi juga wkwkwk. Memperkaya orang yg sudah kaya gaakan ada untungnya emang mereka mau beranak 1000?;Negatif
Setiap pemerintah meninggalkan utang. Transportasi masal di seluruh dunia tidak cari untung dan disubsidi manfaatnya banyak untuk masyarakat;Negatif
andai rakyat Palestina itu sifatnya mirip Mulyono&Gengnya, niscaya Israel udh menduduki tanah Palestina hanya dalam 10tahun😂;Negatif
