Review;Sentimen
apk gjls makin ksni makin aneh. udh jelas2 udh daftar langsung ke desa giliran mau masuk akun tidak di temukan padahal pin udh bener.bukan cuma 1/2x bgtu, payahh, jadi bikin sulit orng aja.👎🏻;Negatif
geblek 🤣;Negatif
dipermudah lagi registrasinya...gila...bikin akun saja harus scan barcode ke petugas capil, kalian tau jarak capil berkilo². digital apaan ini !? aplikasi asal asalan!?;Negatif
ribet;Negatif
g jelas pemerintah di bikin susah rakyat dah tau kalangan masyarakat bawah hp nya biasa aja ini stelah di update malahan ga bisa didukung hp android manag nya harus pake kaya gimana nyusahin aja;Negatif
masa pas apdet data saya jadi ilang sih, padahal kan saya udah daftar ikd di kecamatan, mana pas mau login swapoto nya susah banget, perbaiki dong min gimana sih;Negatif
saat aplikasi di update yang terbaru jadi susah masuk ke menu. padahal sinyal internet aman, mencoba login jam 1 malam tetap eror. sudh d uninstal hasilnya tetap eror. untuk saat ini aplikasi ini tidak recommended. rugi waktu ke DISDUKCAPIL untuk verifikasi, hasilnya tetap tidak bisa d akses;Negatif
aplikasi masih aneh, setiap kali mau masuk harus isi data lengkap dulu,;Negatif
aplikasi bukan memudahkan malah bikin ribet dan lama percuma online kalau daftarnya juga harus ofline;Negatif
kalau sudah terblokir harus ke dukcapil lagi,, itu bukan solusi. bikin aplikasi gak perlu wah ,yang penting ringan dibuka, mudah dipakai ,bisa ke semua platform OS, stabil, belajar dari aplikasi BPJS kesehatan sudah lebih baik;Negatif
apk nya eror gak bisa buat daftar nya.;Negatif
parah aplikasi gak guna, berkali2 login selalu berhenti di izinkan kamera, hapus aja aplikasinya. percuma ada aplikasi kalau penggunaannya ribet. buang2 anggaran.;Negatif
sekelas pemerintah aplikasi kaya gini malu maluin;Negatif
TIDAK BERGUNA !!!! minta izin foto dan video di prangkat ,mikrofon sembarang..!! gila-gila hati kawan pemerintah ingin mengetahui/memantau dan bahkan bisa hack data2 paling privat ,saran yg di pakai harus prangkat yang steril !;Negatif
mohon diupdate samsung a55 5g android 15 tidak suppot;Negatif
